pmid,doi,title,pubYear,match,excerpt,ta_note
41402414,10.1038/s44259-025-00172-6,Gene copy-number features generalize better than SNPs for antimicrobial resistance prediction in Staphylococcus aureus.,2025,loco,"imicrobial resistance (AMR) from genome sequences is essential for timely therapy, yet models based on curated marker panels or core-genome Single Nucleotide Polymorphisms (SNPs) often fail to generalize ",keep_review
42222669,10.1093/bioadv/vbag140,Transformer-based operon prediction using textual representations of gene pairs.,2026,leave-one,"eave-one-species-out analysis over six bacterial genomes and benchmark comparisons on standard datasets. Through ablation and inference-time resilience analyses, we demonstrate that sequence-derived and annota",keep_review
41845205,10.1186/s12866-026-04947-3,Respiratory microbiota maturation enables machine learning based age prediction in chickens.,2026,Leave-One,"dy-Out (LOSO) cross-validation framework. Within this architecture, we utilized Recursive Feature Elimination (RFE) to identify a stable consensus signature composed of taxa persisting in at least 70% of the i",keep_review
41423186,10.1016/j.meegid.2025.105862,Comprehensive in silico genomic surveillance of β-lactam and methicillin resistance in Staphylococcus aureus: Machine learning-based analysis of lineage dynamics and global evolution.,2026,loco,"ccording to the World Health Organization, methicillin-resistant Staphylococcus aureus (MRSA) is classified as a ""High"" priority pathogen on its Global Priority Pathogens List. The aim of this study is to",keep_review
40642980,10.1128/spectrum.00556-25,Machine learning-selected minimal features drive high-accuracy rule-based antibiotic susceptibility predictions for &lt;i&gt;Staphylococcus aureus&lt;/i&gt; via metagenomic sequencing.,2025,loco,"l global health challenge, demanding rapid and accurate antimicrobial susceptibility testing (AST) to guide timely treatments. Traditional culture-based AST methods are slow, while existing whole-genome s",keep_review
41395970,10.1128/spectrum.01922-25,Structure of the &lt;i&gt;Enterobacter&lt;/i&gt; pan-genome is revealed using machine learning.,2026,loco,"lla pneumoniae , Acinetobacter baumannii , Pseudomonas aeruginosa , Enterobacter species, and Escherichia coli pathogens relevant for their nosocomial pathogenicity and antimicrobial resistance. Understan",keep_review
,10.64898/2026.08.25.747089,Genomic Context as a Predictor of Multidrug Resistance in African Klebsiella pneumoniae: A Feasibility Study with Leave-One-Country-Out Validation,2026,Leave-One,"la pneumoniae is a leading cause of healthcare-associated mortality in Africa, yet genomic prediction of resistance has relied almost exclusively on resistance-gene detection validated under random data splits",keep_review
,10.64898/2026.07.10.734579,amR: an R package suite to predict antimicrobial resistance in bacterial pathogens,2026,across species,"oss species and drugs. Results: The amR R package suite contains three modular packages. amRdata downloads genomes and paired antimicrobial susceptibility testing data from BV-BRC and processes them, constructs pan",keep_review
,10.21203/rs.3.rs-9230875/v1,"Beyond the Black Box: A Calibrated, Gene-Centric Pipeline for High-Precision Ciprofloxacin Resistance Prediction in Salmonella enterica",2026,LOSO,"ted lineages such as S. Typhi , showcasing Phylogenetic Leakage as the primary barrier to universal generalization. These findings demonstrate that while gene-based models provide high-fidelity AMR predic",keep_review
42326740,10.3389/fbinf.2026.1801685,Machine learning-based classification of COVID-19 severity using respiratory microbiome profiles from shotgun metagenomic sequencing.,2026,loco,"luated models, XGBoost consistently achieved the best performance, reaching up to 96.1% accuracy, 97.6% F1-score, and 98.2% ROC-AUC in individual cohorts. When trained on the integrated dataset, XGBoost m",keep_review
38706320,10.1093/bib/bbae206,Assessing computational predictions of antimicrobial resistance phenotypes from microbial genomes.,2024,across species,"biotic combinations, particularly for beta-lactams; across species, resistance phenotyping of the beta-lactams compound, aztreonam, amoxicillin/clavulanic acid, cefoxitin, ceftazidime and piperacillin/tazobactam, a",keep_review
41664908,10.1093/bib/bbag023,ANIA: an inception-attention network for predicting minimum inhibitory concentration of antimicrobial peptides.,2026,loco,"i, and Pseudomonas aeruginosa. ANIA leverages Chaos Game Representation (CGR) to transform AMP sequences into frequency-based image features, which are subsequently processed through a hybrid architecture",keep_review
38694798,10.3389/fmicb.2024.1361795,MSDeepAMR: antimicrobial resistance prediction based on deep neural networks and transfer learning.,2024,loco,"r different antibiotic resistance profiles. Additionally, a transfer learning test was performed to study the benefits of adapting the previously trained models to external data. Results MSDeepAMR models ",keep_review
40581074,10.1093/bioinformatics/btaf206,Whole-genome phenotype prediction with machine learning: open problems in bacterial genomics.,2025,loco,"s isolates, we illustrate challenges surrounding the defined open problems. Availability and implementation Raw sequencing data are available from the European Nucleotide Archive (ENA) under project acces",keep_review
40658463,10.1093/bioinformatics/btaf397,Identifying DNA methylation types and methylated base positions from bacteria using nanopore sequencing with multi-scale neural network.,2025,Leave-One,"taining 7 bacteria samples with 46 methylation motifs shows that Nanoident achieves ∼10% improvement in accuracy than the previous method. Furthermore, Nanoident achieves ∼13% improvement in accuracy in an ind",keep_review
