study_id,study,year,domain,ref,task,l1_generalization_claim,l1_block_in_claim_text,l2_declares_label_unit,l2_declares_deployment_block,l2_reports_split_mechanics,l2_reports_blocked_eval,l3_machine_readable_manifest,l3_split_artifact_public,l3_mechanically_auditable,joint_reporting_score,estimand_mismatch_risk,dual_sample,notes,source
LA-001,Grange et al. 2021 (SpillOver),,mixed,[2],Viral spillover risk score,Viral spillover risk score,no,partial,no,partial,no,no,no,insufficient,0,high,yes,Scores assigned per virus entity; genome replicates inherit label.,migrated_v28
LA-002,Mollentze et al. 2021,,mixed,[3],Human-infecting virus classification,Human-infecting virus classification,no,yes,no,partial,no,no,no,insufficient,1,high,no,Species-level label; multiple genomes per species common.,migrated_v28
LA-003,Babayan et al. 2018,,mixed,[4],Reservoir host prediction,Reservoir host prediction,partial,yes,partial,yes,partial,no,no,no,2,medium,no,Explicit phylogenetic structure; not always genome-random.,migrated_v28
LA-004,Engqvist 2018 (OGT),,mixed,[14],Growth temperature vs genomic features,Growth temperature vs genomic features,partial,yes,partial,yes,partial,no,no,no,2,high,no,Domain B/C executed panels replicate gap here.,migrated_v28
LA-005,Dalla-Torre et al. 2025 (NT benchmarks),,mixed,[6],Multi-task genomic benchmarks,Multi-task genomic benchmarks,partial,partial,partial,partial,partial,no,no,insufficient,0,medium,no,Some tasks species/group structured; requires per-task audit.,migrated_v28
LA-006,Ji et al. 2021 (DNABERT),,mixed,[5],Promoter / element classification,Promoter / element classification,no,no,no,partial,no,no,no,insufficient,0,medium–high,no,Risk rises when labels are constant within taxon.,migrated_v28
LA-007,Nguyen et al. 2024 (Evo downstream),,mixed,[1],Genome-scale supervised fine-tuning,Genome-scale supervised fine-tuning,partial,partial,partial,partial,partial,no,no,insufficient,0,medium,no,Motivates audit before interpreting fine-tune metrics.,migrated_v28
LA-008,Hu et al. 2024 (AMR phenotyping benchmark),,mixed,Brief Bioinform,AMR phenotype prediction (78 species–antibiotic panels),AMR phenotype prediction (78 species–antibiotic panels),partial,yes,partial,partial,partial,no,no,insufficient,1,medium,no,Headline method rankings often driven by random-fold performance; blocked regimes reported but less emphasized.,migrated_v28
LA-009,Roberts et al. 2017,,mixed,[16],Spatial/temporal/phylogenetic CV methods,Spatial/temporal/phylogenetic CV methods,n/a,yes,yes,partial,partial,no,no,insufficient,2,low,no,Methodological standard for dependent observations; not genome-ML specific.,migrated_v28
LA-010,Kapoor & Narayanan 2023,,mixed,[18],Leakage audit across ML-based science,Leakage audit across ML-based science,no,no,no,partial,partial,no,no,insufficient,0,high,no,Documents leakage-driven irreproducibility; motivates executable audits.,migrated_v28
LA-011,Bareinboim & Pearl 2016,,mixed,[17],Transportability / data fusion,Transportability / data fusion,partial,partial,partial,partial,partial,no,no,insufficient,0,high,no,Formal motivation for declaring target populations.,migrated_v28
LA-012,Hurlbert 1984,,mixed,[15],Pseudoreplication in ecology,Pseudoreplication in ecology,partial,partial,partial,partial,partial,no,no,insufficient,0,high,no,Classic warning against treating non-independent units as replicates.,migrated_v28
LA-013,Felsenstein 1985,,mixed,[9],Phylogenetic comparative method,Phylogenetic comparative method,yes,yes,yes,partial,partial,no,no,insufficient,2,high,no,Foundational non-independence argument for species-level traits.,migrated_v28
LA-014,Ives & Garland 2010,,mixed,[10],Phylogenetic logistic regression,Phylogenetic logistic regression,yes,yes,yes,partial,yes,no,no,insufficient,3,medium–high,no,Binary traits with phylogenetic structure.,migrated_v28
LA-015,Fu et al. 2012 (CD-HIT),,mixed,[7],Sequence clustering for redundancy reduction,Sequence clustering for redundancy reduction,partial,no,partial,partial,partial,no,no,insufficient,0,medium,no,Homology/redundancy control ≠ estimand declaration.,migrated_v28
LA-016,Ondov et al. 2016 (Mash),,mixed,[8],Genome distance / sketching,Genome distance / sketching,partial,no,partial,partial,partial,no,no,insufficient,0,medium,no,Enables near-duplicate screens; not a reporting standard.,migrated_v28
LA-017,Bernett et al. 2024,,mixed,[21],Guiding questions to avoid data leakage in biological ML,Guiding questions to avoid data leakage in biological ML,partial,partial,partial,partial,partial,no,no,insufficient,0,high,no,Nature Methods checklist; complementary to executable genome manifests.,migrated_v28
LA-018,Bernett et al. 2024 (PPI leakage),,mixed,[21],Protein–protein interaction prediction,Protein–protein interaction prediction,partial,partial,partial,partial,partial,no,no,insufficient,0,high,no,Shows random-split inflation via homology/degree leakage; protein analogue.,migrated_v28
LA-019,Greener et al. 2022,,mixed,[20],Guide to ML for biologists,Guide to ML for biologists,partial,partial,partial,partial,partial,no,no,insufficient,0,medium,no,Reviews evaluation pitfalls including data leakage and homology.,migrated_v28
LA-020,Whalen et al. 2022 (navigating pitfalls of ML in genomics),,mixed,Genome Biol,Genomics ML evaluation,Genomics ML evaluation,no,partial,no,partial,partial,no,no,insufficient,0,high,no,Community-facing pitfalls paper; does not ship executable label/block manifests.,migrated_v28
LA-021,Chicco & Jurman 2020 (ML pitfalls biomedical),,mixed,BMC Bioinformatics,Biomedical classification,Biomedical classification,no,no,no,partial,partial,no,no,insufficient,0,high,no,General biomedical ML reporting gaps.,migrated_v28
LA-022,TAPE / Rao et al. 2019,,mixed,NeurIPS,Protein transfer benchmarks,Protein transfer benchmarks,partial,partial,partial,partial,partial,partial,no,partial,0,medium,no,Benchmark suite with some homology considerations; not genome deployment blocks.,migrated_v28
LA-023,ProteinGym / Notin et al. 2023,,mixed,NeurIPS,Protein fitness prediction,Protein fitness prediction,partial,yes,partial,partial,partial,partial,no,partial,1,medium,no,Strong assay/split documentation; different modality from genome panels.,migrated_v28
LA-024,DeepLoc / Almagro Armenteros et al. 2017,,mixed,Bioinformatics,Subcellular localization,Subcellular localization,partial,partial,partial,partial,partial,no,no,insufficient,0,medium–high,yes,Classic homology-split recommendation in protein annotation.,migrated_v28
LA-025,Metagenomic binning classifiers (e.g. CheckM/GTDB workflows),,mixed,community practice,Taxonomy / bin quality,Taxonomy / bin quality,partial,partial,partial,partial,partial,no,no,insufficient,0,medium,no,Taxonomic holdouts common in practice but rarely machine-readable as estimand audits.,migrated_v28
LA-026,AMRWatch / surveillance ML reports (CDC/EARS-Net style pipelines),,mixed,surveillance practice,AMR prediction,AMR prediction,partial,partial,partial,partial,partial,no,no,insufficient,0,high,no,Real deployment often temporal/geographic; papers often omit executable block declaration.,migrated_v28
