pmid,doi,title,pubYear,match,excerpt,disposition
42222669,10.1093/bioadv/vbag140,Transformer-based operon prediction using textual representations of gene pairs.,2026,leave-one,"eave-one-species-out analysis over six bacterial genomes and benchmark comparisons on standard datasets. Through ablation and inference-time resilience analyses, we demonstrate that sequence-derived and annota",exclude
41845205,10.1186/s12866-026-04947-3,Respiratory microbiota maturation enables machine learning based age prediction in chickens.,2026,Leave-One,"dy-Out (LOSO) cross-validation framework. Within this architecture, we utilized Recursive Feature Elimination (RFE) to identify a stable consensus signature composed of taxa persisting in at least 70% of the i",exclude
,10.64898/2026.08.08.26359928,MALDI-ST: A deep learning-based framework for rapid bacterial strain typing using MALDI-TOF mass spectra,2026,loco,"rococcus faecium (n=222). Data were split 80/20 for training/testing, with mass spectra paired with multi-locus sequence typing (MLST) and genomic clustering (PopPUNK) labels. Models were trained for mult",exclude
42449884,10.3390/diagnostics16132103,Machine Learning-Based Prediction of Antimicrobial Resistance in &lt;i&gt;Escherichia coli&lt;/i&gt; from MALDI-TOF Mass Spectrometry Data.,2026,GroupKFold," tuning (RandomizedSearchCV). Classification thresholds were optimized via the precision-recall curve. Model performance was assessed using AUROC, AUPRC, F1-score, Matthews Correlation Coefficient (MCC), and bo",exclude
41395970,10.1128/spectrum.01922-25,Structure of the &lt;i&gt;Enterobacter&lt;/i&gt; pan-genome is revealed using machine learning.,2026,loco,"lla pneumoniae , Acinetobacter baumannii , Pseudomonas aeruginosa , Enterobacter species, and Escherichia coli pathogens relevant for their nosocomial pathogenicity and antimicrobial resistance. Understan",exclude_weak
,10.64898/2026.07.10.734579,amR: an R package suite to predict antimicrobial resistance in bacterial pathogens,2026,across species,"oss species and drugs. Results: The amR R package suite contains three modular packages. amRdata downloads genomes and paired antimicrobial susceptibility testing data from BV-BRC and processes them, constructs pan",exclude_weak
42326740,10.3389/fbinf.2026.1801685,Machine learning-based classification of COVID-19 severity using respiratory microbiome profiles from shotgun metagenomic sequencing.,2026,loco,"luated models, XGBoost consistently achieved the best performance, reaching up to 96.1% accuracy, 97.6% F1-score, and 98.2% ROC-AUC in individual cohorts. When trained on the integrated dataset, XGBoost m",exclude
39940908,10.3390/ijms26031140,Integrating Machine Learning with MALDI-TOF Mass Spectrometry for Rapid and Accurate Antimicrobial Resistance Detection in Clinical Pathogens.,2025,loco,"ing machine learning algorithms. Additionally, the potential of pre-trained models was assessed through transfer learning analysis. A dataset comprising 2229 mass spectra was collected, and classification",exclude
41664908,10.1093/bib/bbag023,ANIA: an inception-attention network for predicting minimum inhibitory concentration of antimicrobial peptides.,2026,loco,"i, and Pseudomonas aeruginosa. ANIA leverages Chaos Game Representation (CGR) to transform AMP sequences into frequency-based image features, which are subsequently processed through a hybrid architecture",exclude
41374421,10.3390/diagnostics15233041,Machine Learning Model with Fourier-Transform Infrared Spectroscopy (FTIR) as a Proof-of-Concept Tool for Predicting Group A &lt;i&gt;Streptococcus&lt;/i&gt; (GAS) &lt;i&gt;emm&lt;/i&gt;-Type in the Pediatric Population.,2025,leave-one,"longing to emm- types not included in the training of the model ( emm -types: 12, 89, and 75). Results : An artificial neural network trained for 400 cycles achieved the highest accuracy (90.7%) out of the thi",exclude
39406803,10.1038/s41598-024-75044-6,Repurposing MALDI-TOF MS for effective antibiotic resistance screening in Staphylococcus epidermidis using machine learning.,2024,loco,"The emergence of Staphylococcus epidermidis as a significant nosocomial pathogen necessitates advancements in more efficient antimicrobial resistance profiling. However, existing culture-based and PCR-bas",exclude
42412824,10.1093/bioinformatics/btag262,PhageMind: generalized strain-level phage host range prediction via meta-learning.,2026,leave-one,"ve-one-genus-out evaluations, the model maintains robust performance when only limited reference data are available, demonstrating its potential as a scalable and practical tool for studying phage-host interac",exclude_weak
