pmid,doi,title,pubYear,match,excerpt
41402414,10.1038/s44259-025-00172-6,Gene copy-number features generalize better than SNPs for antimicrobial resistance prediction in Staphylococcus aureus.,2025,loco,"imicrobial resistance (AMR) from genome sequences is essential for timely therapy, yet models based on curated marker panels or core-genome Single Nucleotide Polymorphisms (SNPs) often fail to generalize "
42222669,10.1093/bioadv/vbag140,Transformer-based operon prediction using textual representations of gene pairs.,2026,leave-one,"eave-one-species-out analysis over six bacterial genomes and benchmark comparisons on standard datasets. Through ablation and inference-time resilience analyses, we demonstrate that sequence-derived and annota"
41845205,10.1186/s12866-026-04947-3,Respiratory microbiota maturation enables machine learning based age prediction in chickens.,2026,Leave-One,"dy-Out (LOSO) cross-validation framework. Within this architecture, we utilized Recursive Feature Elimination (RFE) to identify a stable consensus signature composed of taxa persisting in at least 70% of the i"
,10.64898/2026.08.08.26359928,MALDI-ST: A deep learning-based framework for rapid bacterial strain typing using MALDI-TOF mass spectra,2026,loco,"rococcus faecium (n=222). Data were split 80/20 for training/testing, with mass spectra paired with multi-locus sequence typing (MLST) and genomic clustering (PopPUNK) labels. Models were trained for mult"
42449884,10.3390/diagnostics16132103,Machine Learning-Based Prediction of Antimicrobial Resistance in &lt;i&gt;Escherichia coli&lt;/i&gt; from MALDI-TOF Mass Spectrometry Data.,2026,GroupKFold," tuning (RandomizedSearchCV). Classification thresholds were optimized via the precision-recall curve. Model performance was assessed using AUROC, AUPRC, F1-score, Matthews Correlation Coefficient (MCC), and bo"
41423186,10.1016/j.meegid.2025.105862,Comprehensive in silico genomic surveillance of β-lactam and methicillin resistance in Staphylococcus aureus: Machine learning-based analysis of lineage dynamics and global evolution.,2026,loco,"ccording to the World Health Organization, methicillin-resistant Staphylococcus aureus (MRSA) is classified as a ""High"" priority pathogen on its Global Priority Pathogens List. The aim of this study is to"
40642980,10.1128/spectrum.00556-25,Machine learning-selected minimal features drive high-accuracy rule-based antibiotic susceptibility predictions for &lt;i&gt;Staphylococcus aureus&lt;/i&gt; via metagenomic sequencing.,2025,loco,"l global health challenge, demanding rapid and accurate antimicrobial susceptibility testing (AST) to guide timely treatments. Traditional culture-based AST methods are slow, while existing whole-genome s"
41395970,10.1128/spectrum.01922-25,Structure of the &lt;i&gt;Enterobacter&lt;/i&gt; pan-genome is revealed using machine learning.,2026,loco,"lla pneumoniae , Acinetobacter baumannii , Pseudomonas aeruginosa , Enterobacter species, and Escherichia coli pathogens relevant for their nosocomial pathogenicity and antimicrobial resistance. Understan"
,10.64898/2026.08.25.747089,Genomic Context as a Predictor of Multidrug Resistance in African Klebsiella pneumoniae: A Feasibility Study with Leave-One-Country-Out Validation,2026,Leave-One,"la pneumoniae is a leading cause of healthcare-associated mortality in Africa, yet genomic prediction of resistance has relied almost exclusively on resistance-gene detection validated under random data splits"
,10.64898/2026.07.10.734579,amR: an R package suite to predict antimicrobial resistance in bacterial pathogens,2026,across species,"oss species and drugs. Results: The amR R package suite contains three modular packages. amRdata downloads genomes and paired antimicrobial susceptibility testing data from BV-BRC and processes them, constructs pan"
,10.21203/rs.3.rs-9230875/v1,"Beyond the Black Box: A Calibrated, Gene-Centric Pipeline for High-Precision Ciprofloxacin Resistance Prediction in Salmonella enterica",2026,LOSO,"ted lineages such as S. Typhi , showcasing Phylogenetic Leakage as the primary barrier to universal generalization. These findings demonstrate that while gene-based models provide high-fidelity AMR predic"
42326740,10.3389/fbinf.2026.1801685,Machine learning-based classification of COVID-19 severity using respiratory microbiome profiles from shotgun metagenomic sequencing.,2026,loco,"luated models, XGBoost consistently achieved the best performance, reaching up to 96.1% accuracy, 97.6% F1-score, and 98.2% ROC-AUC in individual cohorts. When trained on the integrated dataset, XGBoost m"
39940908,10.3390/ijms26031140,Integrating Machine Learning with MALDI-TOF Mass Spectrometry for Rapid and Accurate Antimicrobial Resistance Detection in Clinical Pathogens.,2025,loco,"ing machine learning algorithms. Additionally, the potential of pre-trained models was assessed through transfer learning analysis. A dataset comprising 2229 mass spectra was collected, and classification"
38706320,10.1093/bib/bbae206,Assessing computational predictions of antimicrobial resistance phenotypes from microbial genomes.,2024,across species,"biotic combinations, particularly for beta-lactams; across species, resistance phenotyping of the beta-lactams compound, aztreonam, amoxicillin/clavulanic acid, cefoxitin, ceftazidime and piperacillin/tazobactam, a"
41664908,10.1093/bib/bbag023,ANIA: an inception-attention network for predicting minimum inhibitory concentration of antimicrobial peptides.,2026,loco,"i, and Pseudomonas aeruginosa. ANIA leverages Chaos Game Representation (CGR) to transform AMP sequences into frequency-based image features, which are subsequently processed through a hybrid architecture"
41374421,10.3390/diagnostics15233041,Machine Learning Model with Fourier-Transform Infrared Spectroscopy (FTIR) as a Proof-of-Concept Tool for Predicting Group A &lt;i&gt;Streptococcus&lt;/i&gt; (GAS) &lt;i&gt;emm&lt;/i&gt;-Type in the Pediatric Population.,2025,leave-one,"longing to emm- types not included in the training of the model ( emm -types: 12, 89, and 75). Results : An artificial neural network trained for 400 cycles achieved the highest accuracy (90.7%) out of the thi"
39406803,10.1038/s41598-024-75044-6,Repurposing MALDI-TOF MS for effective antibiotic resistance screening in Staphylococcus epidermidis using machine learning.,2024,loco,"The emergence of Staphylococcus epidermidis as a significant nosocomial pathogen necessitates advancements in more efficient antimicrobial resistance profiling. However, existing culture-based and PCR-bas"
42412824,10.1093/bioinformatics/btag262,PhageMind: generalized strain-level phage host range prediction via meta-learning.,2026,leave-one,"ve-one-genus-out evaluations, the model maintains robust performance when only limited reference data are available, demonstrating its potential as a scalable and practical tool for studying phage-host interac"
41473737,10.1155/bmri/1235637,Functional and Structure Prediction of Hypothetical Proteins From &lt;i&gt;Listeria aquatica&lt;/i&gt; FSL S10-1188: Bioinformatics Approaches.,2025,logo,"xification protein. Both showed alpha-helix-rich secondary structures, with high-confidence AlphaFold3 models (pTM scores: 0.87 and 0.94). Structural validation confirmed the model quality. Virulence pred"
41959952,10.7759/cureus.104870,Machine Learning Analysis of Type VII Secretion System Expression and Its Relationships With Virulence Traits and Antibiotic Resistance in Staphylococcus aureus.,2026,loco,"ity pathogen due to its extensive virulence arsenal, immune evasion strategies, and rising multidrug resistance, particularly in methicillin-resistant strains (MRSA). The type VII secretion system (T7SS),"
38694798,10.3389/fmicb.2024.1361795,MSDeepAMR: antimicrobial resistance prediction based on deep neural networks and transfer learning.,2024,loco,"r different antibiotic resistance profiles. Additionally, a transfer learning test was performed to study the benefits of adapting the previously trained models to external data. Results MSDeepAMR models "
41257887,10.1038/s41598-025-24298-9,Coevolutionary signals in multiple sequence alignments improve virulence factor prediction with an MSA Transformer.,2025,logo,"ese coevolutionary features along with the residue level information, we propose MSA-composition, which consists of latent vectors for amino acids in matrix form. Our approach achieved a prediction accura"
40581074,10.1093/bioinformatics/btaf206,Whole-genome phenotype prediction with machine learning: open problems in bacterial genomics.,2025,loco,"s isolates, we illustrate challenges surrounding the defined open problems. Availability and implementation Raw sequencing data are available from the European Nucleotide Archive (ENA) under project acces"
40658463,10.1093/bioinformatics/btaf397,Identifying DNA methylation types and methylated base positions from bacteria using nanopore sequencing with multi-scale neural network.,2025,Leave-One,"taining 7 bacteria samples with 46 methylation motifs shows that Nanoident achieves ∼10% improvement in accuracy than the previous method. Furthermore, Nanoident achieves ∼13% improvement in accuracy in an ind"
40640467,10.1038/s43856-025-00999-0,Machine learning-assisted assessment of extracellular vesicles can monitor cellular rejection after heart transplant.,2025,leave-one," 78.9% at validation in an independent cohort (AUC 0.832), with high specificity and negative predictive value. EV profiling outperforms conventional biochemical markers and provides anticipatory insight into "
42177353,10.1038/s41598-026-54844-y,Semantic embedding of variant effect annotations enables rapid and accurate pathogenicity prediction with VUS.Life.,2026,Leave-One,"CV) MCC of 0.895-0.989 and F1 ≥ 0.94 across all genes evaluated. Additionally, our unsupervised FBN1 structural analysis using ESMC-600M revealed that delta embeddings disentangled distinct pathogenic mechanis"
