evidence_source_id,study_or_resource_name,year,stratum,task_domain,doi_or_url,repo_url,search_origin,claim_declared,claim_text_excerpt,claim_source,assertion_status,deployment_block,membership_released,membership_reconstructable,block_mapping_available,mapping_version_pinned,identifier_namespace_ok,direct_conformance_assessable,verification_depth,main_barrier,reportcard_readiness,evidence_source_grouping,coder,coded_date,notes
SEED-HU-AMR-BENCH,Hu et al. Assessing computational predictions of AMR phenotypes,2024,AMR_core,microbial AMR phenotype ML benchmark,10.1093/bib/bbae206,https://github.com/hzi-bifo/AMR_benchmarking,seed+Q3_abstract_hit,yes,species-level / phylogeny-aware and multi-S evaluations discussed; MSMA-concat outer LOSO regenerable,paper+repo,normalized,species (LOSO outer) / phylogeny (PA folds),partial_public_cv_folds_JSON,yes_deterministic_for_MSMA_LOSO,yes_for_species_via_multi_S_and_meta,partial,yes,no_for_public_direct_author_folds,protocol-reconstructed,missing_membership_public_release_for_outer_LOSO,partial,hzi-bifo/AMR_benchmarking,XW,2026-09-05,Prior manuscript exemplar; not prevalence row. Phylotree membership-only separately. | 2026-09-05: repo ships unit-level Evaluation folds under data/PATRIC/cv_folds/loose/ (single_S random/KMA/phylotree; multi_S; multi_S_LOO JSON lists of genome IDs). README links these as Evaluation folds. Do not silently upgrade MSMA-concat outer LOSO depth without paper-aligned semantics of multi_S_LOO; phylotree/single-S membership-released reinforced.
SEED-BIG-TB,BIG-TB benchmark lineage LOLO,2024,AMR_core,TB AMR genome-ML benchmark,https://github.com/SAGE-Lab-UMass/Big-TB-benchmark,https://github.com/SAGE-Lab-UMass/Big-TB-benchmark,seed,yes,leave-one-major-lineage-out claimed in project docs,repo,normalized,lineage,no,partial_if_inputs_public,yes_lineage_table_claimed,no,unknown,no,not-assessable,missing_membership_and_phenotype_placeholder,insufficient,SAGE-Lab-UMass/Big-TB-benchmark,XW,2026-09-05,Pending maintainer export; phenotype CSV placeholder historically.
SEED-ENQVIST-OGT-RELATED,Engqvist OGT resource (motivating; not always ML paper),2018,phenotype_adjacent,microbial OGT phenotype resource,10.1186/s12859-018-2308-x,,seed,ambiguous,species structure relevant to blocked evaluation in downstream ML reanalyses,paper,auditor_interpreted_excluded_from_primary,species,n/a,n/a,yes_taxon_map_possible,variable,yes,n/a,claim-not-declared_for_primary_ML_claim,claim_ambiguity_for_ML_eval_paper,insufficient,Engqvist2018_OGT,XW,2026-09-05,Keep as seed-augment only; exclude from primary denominator unless linked ML study declares block claim.
WAVE2-KLEB-LOCO,Genomic Context Predictor MDR African K. pneumoniae LOCO,2026,AMR_core,Klebsiella MDR genomic-context ML,10.64898/2026.08.25.747089,https://github.com/Ultramedico/klebsiella-amr-pipeline,Q3+PDF+GitHub,yes,leave-one-country-out (LOCO) CV; country withheld per fold; min_train/min_test guards,paper_preprint+repo_SPEC,verbatim,country,no,partial_author_generator,yes_country_column_in_pipeline,partial_PDG000000012.2501_and_seed_20260821,yes_accessions_intended,no,not-assessable,missing_membership,partial,Ultramedico/klebsiella-amr-pipeline@v0.1.0,XW,2026-09-05,"PDF+repo reviewed. Author ships deterministic leave_one_country_out (splits.py) + seed 20260821 + NCBI release pin, but NO unit-level fold CSV in repo; only runtime_snapshot.tar.gz asset. Paper claims filtered metadata snapshot archived with preprint — locate bioRxiv supplement or request export. Grade: NOT public direct-membership. If snapshot obtained, can attempt upstream-regenerated LOCO membership audit. Outreach YES for membership CSV or snapshot TSV. | 2026-09-06: terminal depth not-assessable (no public unit-level LOCO membership); generator+seed noted but cohort snapshot not public. No grade inflation."
WAVE2-SAUREUS-HOST,Inferring S. aureus host species from genome-based model,2025,pathogen_genomeML,S. aureus host prediction,10.1186/s12864-025-11331-4,,Q2_priority+OA_fulltext,ambiguous,host prediction; 10-fold CV + external GenBank validation set (40 pig/40 human); NOT leave-one-host-out folds found,paper,normalized,host_species_label,partial_suppl_isolate_tables,no,yes_host_labels_in_suppl,no,yes,no,claim-not-declared,missing_fold_membership_for_block_exclusion_claim,partial,BMC_Genomics_2025_Saureus_host,XW,2026-09-06,Fulltext reviewed: no leave-one language; external validation cohort exists. Do not code as biological block-exclusion LOSO unless authors declare host-holdout CV. | 2026-09-06: confirmed no leave-one-host-out; external validation ≠ biological block-exclusion claim. Excluded from primary claim_declared=yes denominator.
WAVE2-GBS-HOST,Predicting hosts and cross-species transmission of S. agalactiae,2024,pathogen_genomeML,GBS host prediction,10.1016/j.compbiomed.2024.108185,,Q2_priority,ambiguous,cross-species transmission / host prediction (T/A); fold protocol pending fulltext,paper,pending,host_species,unknown,unknown,unknown,unknown,unknown,no,claim-not-declared,claim_ambiguity,insufficient,CompBiolMed_2024_GBS,XW,2026-09-06,Host prediction / cross-species transmission framing; not coded as declared species-block exclusion without verbatim holdout claim. Excluded from primary denominator.
WAVE2-COPYNUM-AMR,Gene copy-number features generalize better than SNPs for AMR in S. aureus,2025,AMR_core,S. aureus AMR prediction with lineage-held-out evaluation,10.1038/s44259-025-00172-6,https://doi.org/10.6084/m9.figshare.30230515,Q3_abstract_hit+PMC_fulltext,yes,lineage-held-out evaluation which withholds entire clades to mimic previously unseen lineages,paper,verbatim,lineage_clade,unknown_figshare_access_blocked,unknown,yes_clustering_described,unknown,yes_isolates_described,no,not-assessable,inaccessible_data,insufficient,npj_AMR_2025_copynumber_figshare30230515,XW,2026-09-06,"OA fulltext confirms clade/lineage-held-out schemes. Data+scripts cited at figshare 30230515; API/HTML 403 here. Manual download required to classify direct vs reconstructable vs not-assessable. HIGH PRIORITY. | 2026-09-05: still no figshare files in workspace; browser download required or outreach. | 2026-09-06: figshare download requires permission/licence gate; without unit-level holdout membership export, grade NOT-ASSESSABLE. Do not invent folds. Optional if access later."
WAVE2-AMR-RPACKAGE,amR R package suite for AMR prediction,2026,AMR_core,AMR prediction software/benchmark,10.64898/2026.07.10.734579,https://github.com/JRaviLab/amR,Q3_abstract_hit,ambiguous,cross-species / multi-drug patterns; splitter/product class risk,paper_preprint+repo,pending,species_cross,unknown,tool_generates_splits,unknown,unknown,unknown,no,claim-not-declared,claim_ambiguity,insufficient,JRaviLab/amR,XW,2026-09-06,Software/splitter class risk; no frozen evaluation membership release identified for a declared biological-block claim. Excluded from primary denominator pending explicit pinned eval release.
WAVE2-CIPRO-CALIBRATED,Beyond the Black Box ciprofloxacin resistance Salmonella,2026,AMR_core,Salmonella ciprofloxacin AMR,10.21203/rs.3.rs-9230875/v1,,Q3+PDF,yes,Leave-One-Serovar-Out (LOSO) validation; phylogenetic leakage discussed,preprint,verbatim,serovar,no,no,unknown_serovar_from_NCBI_PDG,no,partial_NCBI_PDG_mentioned,no,not-assessable,missing_membership; no_public_code_or_archive_found_in_PDF,insufficient,ResearchSquare_rs-9230875,XW,2026-09-05,PDF reviewed (26 pp). LOSO = Leave-One-Serovar-Out (not species). No GitHub/Zenodo/data-availability deposit located in PDF. Outreach YES for serovar-level fold membership.
WAVE2-OPENPROBLEMS,Whole-genome phenotype prediction open problems in bacterial genomics,2025,AMR_core,methods/open-problems article,10.1093/bioinformatics/btaf206,https://github.com/sanger-pathogens/vr-codebase,Q3_abstract_hit,no,discusses ML phenotype prediction pitfalls; may not declare a single evaluation contract,paper,auditor_interpreted_excluded_from_primary,unspecified,unknown,unknown,unknown,unknown,unknown,no,claim-not-declared,claim_ambiguity,insufficient,Bioinformatics_2025_openproblems,XW,2026-09-06,Open-problems/methods article; no single pinned block-exclusion evaluation contract. Excluded from primary claim_declared=yes denominator.
