pmid,doi,title,pubYear,match,excerpt,disposition
41402414,10.1038/s44259-025-00172-6,Gene copy-number features generalize better than SNPs for antimicrobial resistance prediction in Staphylococcus aureus.,2025,loco,"imicrobial resistance (AMR) from genome sequences is essential for timely therapy, yet models based on curated marker panels or core-genome Single Nucleotide Polymorphisms (SNPs) often fail to generalize ",fulltext_priority
41423186,10.1016/j.meegid.2025.105862,Comprehensive in silico genomic surveillance of β-lactam and methicillin resistance in Staphylococcus aureus: Machine learning-based analysis of lineage dynamics and global evolution.,2026,loco,"ccording to the World Health Organization, methicillin-resistant Staphylococcus aureus (MRSA) is classified as a ""High"" priority pathogen on its Global Priority Pathogens List. The aim of this study is to",fulltext_priority
40642980,10.1128/spectrum.00556-25,Machine learning-selected minimal features drive high-accuracy rule-based antibiotic susceptibility predictions for &lt;i&gt;Staphylococcus aureus&lt;/i&gt; via metagenomic sequencing.,2025,loco,"l global health challenge, demanding rapid and accurate antimicrobial susceptibility testing (AST) to guide timely treatments. Traditional culture-based AST methods are slow, while existing whole-genome s",fulltext_priority
,10.64898/2026.08.25.747089,Genomic Context as a Predictor of Multidrug Resistance in African Klebsiella pneumoniae: A Feasibility Study with Leave-One-Country-Out Validation,2026,Leave-One,"la pneumoniae is a leading cause of healthcare-associated mortality in Africa, yet genomic prediction of resistance has relied almost exclusively on resistance-gene detection validated under random data splits",fulltext_priority
,10.21203/rs.3.rs-9230875/v1,"Beyond the Black Box: A Calibrated, Gene-Centric Pipeline for High-Precision Ciprofloxacin Resistance Prediction in Salmonella enterica",2026,LOSO,"ted lineages such as S. Typhi , showcasing Phylogenetic Leakage as the primary barrier to universal generalization. These findings demonstrate that while gene-based models provide high-fidelity AMR predic",fulltext_priority
34100643,10.1128/msystems.01185-20,Whole-Genome Sequencing and Machine Learning Analysis of Staphylococcus aureus from Multiple Heterogeneous Sources in China Reveals Common Genetic Traits of Antimicrobial Resistance.,2021,loco,Staphylococcus aureus is a worldwide leading cause of numerous diseases ranging from food-poisoning to lethal infections. Methicillin-resistant S. aureus (MRSA) has been found capable of ,fulltext_priority
33519755,10.3389/fmicb.2020.607842,Integrative Analysis of Whole Genome Sequencing and Phenotypic Resistance Toward Prediction of Trimethoprim-Sulfamethoxazole Resistance in <i>Staphylococcus aureus</i>.,2020,loco,"e for clinical microbiological diagnostics, the reliability of genotypic antimicrobial resistance (AMR) prediction from sequencing data is an important issue to address. Computational AMR prediction can b",fulltext_priority
33075053,10.1371/journal.pcbi.1008319,Predicting antimicrobial resistance using conserved genes.,2020,loco," enterica, and Staphylococcus aureus, we report that it is possible to classify susceptible and resistant phenotypes with average F1 scores ranging from 0.80-0.89 with as few as 100 conserved non-AMR gene",fulltext_priority
35862809,10.1128/msystems.00378-22,"Forecasting Staphylococcus aureus Infections Using Genome-Wide Association Studies, Machine Learning, and Transcriptomic Approaches.",2022,loco,"Staphylococcus aureus is a major human and animal pathogen, colonizing diverse ecological niches within its hosts. Predicting whether an isola",fulltext_priority
39858869,10.3390/microorganisms13010101,Data Mining Models in Prediction of Vancomycin-Intermediate <i>Staphylococcus aureus</i> in Methicillin-Resistant <i>S. aureus</i> (MRSA) Bacteremia Patients in a Clinical Care Setting.,2025,loco,"Vancomycin-intermediate Staphylococcus aureus (VISA) is a multi-drug-resistant pathogen of significant clinical concern. Various S. aureus strains can cause infections, from skin and soft tissu",fulltext_priority
,10.1101/2020.04.29.068254,Predicting Antimicrobial Resistance Using Conserved Genes,2020,loco,"erica , and Staphylococcus aureus , we report that it is possible to classify susceptible and resistant phenotypes with average F1 scores ranging from 0.80-0.89 with as few as 100 conserved non-AMR genes,",fulltext_priority
33581494,10.1016/j.vetmic.2021.109006,Genomics accurately predicts antimicrobial resistance in Staphylococcus pseudintermedius collected as part of Vet-LIRN resistance monitoring.,2021,loco,"Whole-genome sequencing (WGS) has changed our understanding of bacterial pathogens, aiding outbreak investigations and advancing our knowledge of their genetic features. However, there ha",fulltext_priority
