case_id,category,domain,citation,claim_specification_status,artifact_sufficiency_status,contract_conformance_status,biological_block_validation_status,verification_depth_tier,outcome_scope,legacy_audit_outcome,adapter
C2-GB-HUMAN_PROMOTERS,A_sequence_level_complete,regulatory,Grešová et al. 2023 doi:10.1186/s12863-023-01123-8,specified,sufficient,conformant,not_applicable,sequence_membership_conformant,sequence-ID holdout only,conformant,tabular_membership
C2-GB-HUMAN-PROMOTERS-E2E,A_sequence_level_complete,regulatory,Grešová et al. 2023 doi:10.1186/s12863-023-01123-8,specified,sufficient,conformant,not_applicable,human_sequence_e2e,sequence-ID holdout E2E; chromosome check supplemental only,conformant,tabular_membership
C2-GB-CODING_VS_INTERGENIC,A_sequence_level_complete,regulatory,Grešová et al. 2023 (GenomicBenchmarks demo_coding_vs_intergenomic_seqs),specified,sufficient,conformant,not_applicable,sequence_membership_conformant,released train/test partition (interval identity),conformant,tabular_membership
C2-GB-HUMAN_OCR,A_sequence_level_complete,regulatory,Grešová et al. 2023 (GenomicBenchmarks human_ocr_ensembl),specified,sufficient,conformant,not_applicable,sequence_membership_conformant,released train/test partition (interval identity),conformant,tabular_membership
C2-GB-HUMAN_ENHANCERS,A_sequence_level_complete,regulatory,Grešová et al. 2023 (GenomicBenchmarks human_enhancers_ensembl),specified,sufficient,conformant,not_applicable,sequence_membership_conformant,folder/example partition; interval recurrence supplemental,conformant,tabular_membership
C2-HU-PA-CEFTAZ-PHYLO,C_split_without_independent_block_metadata,amr,doi:10.1093/bib/bbae206; Mendeley 10.17632/6vc2msmsxj.1,specified,sufficient,conformant,not_independently_verified,fold_membership_without_block_validation,fold-membership artifact only,conformant,json_fold
C2-HU-PA-CEFTAZ-RANDOM,C_split_without_independent_block_metadata,amr,doi:10.1093/bib/bbae206 (random_cv.json companion artifact),specified,sufficient,conformant,not_applicable,fold_membership_without_block_validation,released random fold-membership partition,conformant,json_fold
C2-PROTEINGYM-DMS,B_declared_block_or_assay_partition,protein,Notin et al. 2023 ProteinGym; Zenodo 10.5281/zenodo.15293562,specified,sufficient,conformant,not_applicable,cv_membership_complete_no_declared_block,"217/217 DMS assays aligned; ~696k mutant CV membership complete across three released schemes; establishes artifact completeness and conformance to released CV design, not biological deployment-block generalization",conformant,tabular_membership
C2-GENELAB-MISSION-LOMO,B_declared_block_or_assay_partition,transcriptomics,GeneLab benchmark (HuggingFace jang1563/genelab-benchmark); NASA GeneLab OSD missions,specified,sufficient,conformant,not_independently_verified,declared_block_e2e,leave-one-mission-out sample membership; mission metadata in fold artifacts,conformant,tabular_membership
C2-MOLLENTZE-ZOONOTIC_RANK,D_insufficient_membership,viral,doi:10.1371/journal.pbio.3001390; Zenodo 10.5281/zenodo.5155330,specified,insufficient,not_assessable,not_applicable,artifact_insufficient,artifact sufficiency for membership reconstruction,insufficient_split_artifact,workflow_split
C2-BABAYAN-VIRAL_HOST,D_insufficient_membership,viral,Babayan et al. 2018; public genomes/labels used in this study,specified,insufficient,not_assessable,not_applicable,artifact_insufficient,no version-aligned official fold membership for published metrics,insufficient_split_artifact,workflow_split
C2-ENGQVIST-OGT,D_insufficient_membership,bacterial,Engqvist 2018 OGT labels (public); ML folds not an official Engqvist release,underspecified,insufficient,not_assessable,not_applicable,artifact_insufficient,no official ML fold membership release,insufficient_split_artifact,workflow_split
C2-CAMI2-METAGENOMICS,B_declared_block_or_assay_partition,metagenomics,doi:10.1038/s41592-023-01962-8,specified,pending,not_assessable,not_applicable,pending_retrieval,pending official sample-split retrieval,not_assessed,tabular_membership
C2-GB-MOUSE_ENHANCERS,A_sequence_level_complete,regulatory,Grešová et al. 2023 (registry row; dataset slug not present at pinned commit),specified,insufficient,not_assessable,not_applicable,artifact_insufficient,dataset slug absent at pinned commit,insufficient_split_artifact,tabular_membership
C2-SCRNA-DONOR-CV,D_insufficient_membership,scrna,danielchen05/scRNA-cross-donor-generalization (human blood atlas donor CV),specified,insufficient,not_assessable,not_applicable,claim_recorded_membership_insufficient,donor-level claim specified; cell↔donor↔fold membership unavailable — records claim while withholding donor-disjoint conformance conclusion,insufficient_split_artifact,workflow_split_documented
