case_id	claim_specification_status	artifact_sufficiency_status	contract_conformance_status	biological_block_validation_status	verification_depth_tier
C2-GB-HUMAN_PROMOTERS	specified	sufficient	conformant	not_applicable	sequence_membership_conformant
C2-GB-HUMAN-PROMOTERS-E2E	specified	sufficient	conformant	not_applicable	human_sequence_e2e
C2-GB-CODING_VS_INTERGENIC	specified	sufficient	conformant	not_applicable	sequence_membership_conformant
C2-GB-HUMAN_OCR	specified	sufficient	conformant	not_applicable	sequence_membership_conformant
C2-GB-HUMAN_ENHANCERS	specified	sufficient	conformant	not_applicable	sequence_membership_conformant
C2-HU-PA-CEFTAZ-PHYLO	specified	sufficient	conformant	not_independently_verified	fold_membership_without_block_validation
C2-HU-PA-CEFTAZ-RANDOM	specified	sufficient	conformant	not_applicable	fold_membership_without_block_validation
C2-PROTEINGYM-DMS	specified	sufficient	conformant	not_applicable	cv_membership_complete_no_declared_block
C2-GENELAB-MISSION-LOMO	specified	sufficient	conformant	not_independently_verified	declared_block_e2e
C2-MOLLENTZE-ZOONOTIC_RANK	specified	insufficient	not_assessable	not_applicable	artifact_insufficient
C2-BABAYAN-VIRAL_HOST	specified	insufficient	not_assessable	not_applicable	artifact_insufficient
C2-ENGQVIST-OGT	underspecified	insufficient	not_assessable	not_applicable	artifact_insufficient
C2-CAMI2-METAGENOMICS	specified	pending	not_assessable	not_applicable	pending_retrieval
C2-GB-MOUSE_ENHANCERS	specified	insufficient	not_assessable	not_applicable	artifact_insufficient
C2-SCRNA-DONOR-CV	specified	insufficient	not_assessable	not_applicable	claim_recorded_membership_insufficient
