case_id,upstream_ecosystem,domain_task,upstream_source_version,membership_artifact,membership_provenance,block_mapping_available,claim_specification,artifact_sufficiency,membership_integrity,declared_block_conformance,block_justification,key_limitation
C2-GB-HUMAN_PROMOTERS,GenomicBenchmarks,human non-TATA promoters,GenomicBenchmarks@605d8539,train/test CSV.gz folders,direct_release,sequence_id (declared holdout),specified,sufficient,conformant,not applicable,not applicable,chromosome recurrence undeclared
C2-GB-HUMAN-PROMOTERS-E2E,GenomicBenchmarks,human non-TATA promoters (source-preserving E2E),GenomicBenchmarks@605d8539 + Report Card manifest assembly,manifest_sequence_split.tsv,direct_release,sequence_id,specified,sufficient,conformant,not applicable,not applicable,interoperability packaging; not donor/cohort transfer
C2-GB-CODING_VS_INTERGENIC,GenomicBenchmarks,coding vs intergenic demo,GenomicBenchmarks@605d8539,train/test folders,direct_release,sequence/interval id,specified,sufficient,conformant,not applicable,not applicable,demo task scope
C2-GB-HUMAN_OCR,GenomicBenchmarks,human OCR Ensembl,GenomicBenchmarks@605d8539,train/test folders,direct_release,sequence/interval id,specified,sufficient,conformant,not applicable,not applicable,none for declared estimand
C2-GB-HUMAN_ENHANCERS,GenomicBenchmarks,human enhancers Ensembl,GenomicBenchmarks@605d8539,train/test folders,direct_release,example id,specified,sufficient,conformant,not applicable,not applicable,interval recurrence supplemental
C2-HU-PA-CEFTAZ-PHYLO,Hu AMR benchmarking,P. aeruginosa ceftazidime phylo CV,AMR_benchmarking@2850078b; Mendeley 10.17632/6vc2msmsxj.1,ceftazidime_phylotree_cv.json,direct_release,fold ids only; clade table absent,specified,sufficient,conformant,not assessable,not assessed,membership interoperability only; phylogenetic block not encodable
C2-HU-PA-CEFTAZ-RANDOM,Hu AMR benchmarking,P. aeruginosa ceftazidime random CV,same suite; random_cv.json,random_cv.json,direct_release,fold ids,specified,sufficient,conformant,not applicable,not applicable,non-biological partition claim
C2-PROTEINGYM-DMS,ProteinGym,ProteinGym DMS supervised CV,ProteinGym 144fe22b; Zenodo 10.5281/zenodo.15293562,cv_folds_singles_substitutions.zip,direct_release,not declared / N/A,specified,sufficient,conformant,not applicable,not applicable,released CV only; not protein-disjoint transfer
C2-GENELAB-MISSION-LOMO,GeneLab benchmark,GeneLab gastrocnemius LOMO,HF jang1563/genelab-benchmark A2,train/test_meta.csv + fold_info.json,direct_release,mission,specified,sufficient,conformant,conformant,not assessed,mouse mission ≠ human donor
C2-HU-MSMA-LOSO-OUTER,Hu AMR benchmarking,MSMA-concat outer leave-one-species-out,AMR_benchmarking@2850078b912483b352f9a355a86a618c3553ca94,fold_assignment_regenerated.tsv (generator-derived),deterministic_generator,species (from multi_S_LOO_folds files),specified,sufficient,conformant,conformant,not assessed,generator-derived E2E; not upstream fold-CSV release; ≠ Hu phylotree
C2-MOLLENTZE-ZOONOTIC_RANK,Mollentze zoonotic_rank,zoonotic_rank InfectsHuman,Nardus/zoonotic_rank; Zenodo 10.5281/zenodo.5155330,generator+seed; no export,unavailable,unavailable,specified,insufficient,not assessable,not assessable,not applicable,membership not independently verifiable
C2-BABAYAN-VIRAL_HOST,Babayan 2018 panel,viral host prediction,Babayan 2018 public genomes/labels,official folds absent,unavailable,unavailable,specified,insufficient,not assessable,not assessable,not applicable,reconstructed Δ_B ≠ C2 membership
C2-ENGQVIST-OGT,Engqvist OGT,bacterial OGT labels,Engqvist 2018 Zenodo labels,no official ML fold release,unavailable,unavailable,underspecified,insufficient,not assessable,not assessable,not applicable,labels ≠ ML fold artifact
C2-CAMI2-METAGENOMICS,CAMI II,CAMI II sample-disjoint,doi:10.1038/s41592-023-01962-8,pending retrieval,unavailable,pending,specified,pending,not assessable,not assessable,not applicable,pending
C2-GB-MOUSE_ENHANCERS,GenomicBenchmarks,mouse enhancers (registry slug),GenomicBenchmarks pinned commit,slug absent at pin,unavailable,unavailable,specified,insufficient,not assessable,not assessable,not applicable,dataset slug missing
C2-SCRNA-DONOR-CV,scRNA cross-donor,human blood atlas donor CV,scRNA-cross-donor-generalization@ccfd3b7e,metrics/predictions only,unavailable,donor_id in config; not exported,specified,insufficient,not assessable,not assessable,not applicable,claim recorded; conformance withheld
