evidence_source_id,pmid,doi,title,pubYear,journalTitle,query_ids,screen_decision,screen_reason,screener,screen_date,notes
EPMC-0001,,,152. rapid Ultra-high Enrichment of Bacterial Pathogens at Low Concentration from Blood for Species ID and AMR Prediction Using Nanopore Sequencing,2020,,Q3_amr_core,pending,,,,
EPMC-0002,,,153. pilot Study of a Novel Whole-genome Sequencing Based Rapid Bacterial Identification Assay in Patients with Bacteremia,2020,,Q3_amr_core,pending,,,,
EPMC-0003,,,154. comparative Genomics Reveals Extra-hospital Transmission Networks of Carbapenem-resistant acinetobacter Baumannii sustained over Multiple Years in a US Midwest City,2020,,Q3_amr_core,pending,,,,
EPMC-0004,,,"155. Public Health Action-based System for Tracking and Responding to U.S. candida Drug Resistance: AR Lab Network, 2016–2019",2020,,Q3_amr_core,pending,,,,
EPMC-0005,32843552,10.1128/mbio.01527-20,A Genome-Based Model to Predict the Virulence of Pseudomonas aeruginosa Isolates.,2020,,Q3_amr_core,pending,,,,
EPMC-0006,32444610,10.1038/s41467-020-16310-9,A biochemically-interpretable machine learning classifier for microbial GWAS.,2020,,Q3_amr_core,pending,,,,
EPMC-0007,33293535,10.1038/s41467-020-19612-0,A machine learning toolkit for genetic engineering attribution to facilitate biosecurity.,2020,,Q3_amr_core,pending,,,,
EPMC-0008,32849463,10.3389/fmicb.2020.01883,Analytical Performance Validation of Next-Generation Sequencing Based Clinical Microbiology Assays Using a K-mer Analysis Workflow.,2020,,Q3_amr_core,pending,,,,
EPMC-0009,35685616,10.1039/d0ra01484b,Antibiotic resistance: bioinformatics-based understanding as a functional strategy for drug design.,2020,,Q3_amr_core,pending,,,,
EPMC-0010,32441616,10.3201/eid2606.191121,Antimicrobial Resistance in Salmonella enterica Serovar Paratyphi B Variant Java in Poultry from Europe and Latin America.,2020,,Q3_amr_core,pending,,,,
EPMC-0011,32670510,10.1016/j.csbj.2020.06.031,Assessment of vector-host-pathogen relationships using data mining and machine learning.,2020,,Q2_block_holdout_focus|Q3_amr_core,pending,,,,
EPMC-0012,32518231,10.1038/s41598-020-65981-3,BacEffluxPred: A two-tier system to predict and categorize bacterial efflux mediated antibiotic resistance proteins.,2020,,Q3_amr_core,pending,,,,
EPMC-0013,33014966,10.3389/fpubh.2020.00451,Bacterial Genome Wide Association Studies (bGWAS) and Transcriptomics Identifies Cryptic Antimicrobial Resistance Mechanisms in <i>Acinetobacter baumannii</i>.,2020,,Q3_amr_core,pending,,,,
EPMC-0014,32085478,10.3390/ijms21041363,Bioinformatics Approaches to the Understanding of Molecular Mechanisms in Antimicrobial Resistance.,2020,,Q3_amr_core,pending,,,,
EPMC-0015,33294134,10.1016/j.csbj.2020.10.017,Combining structure and genomics to understand antimicrobial resistance.,2020,,Q3_amr_core,pending,,,,
EPMC-0016,33240320,10.3389/fgene.2020.566080,Comparative Genome Analysis Reveals the Molecular Basis of Niche Adaptation of <i>Staphylococcus epidermidis</i> Strains.,2020,,Q3_amr_core,pending,,,,
EPMC-0017,33240317,10.3389/fgene.2020.563975,Current Trends in Experimental and Computational Approaches to Combat Antimicrobial Resistance.,2020,,Q3_amr_core,pending,,,,
EPMC-0018,32511244,10.1371/journal.pgen.1008850,Evolution of Salmonella enterica serotype Typhimurium driven by anthropogenic selection and niche adaptation.,2020,,Q3_amr_core,pending,,,,
EPMC-0019,32159920,10.15252/embr.202050249,Exploiting antimicrobial resistance: Better knowledge of resistance mechanisms can inform the search for and development of new antibiotics.,2020,,Q3_amr_core,pending,,,,
EPMC-0020,32221315,10.1038/s41598-020-62371-7,Genomic Epidemiology of Vancomycin-Resistant Enterococcus faecium (VREfm) in Latin America: Revisiting The Global VRE Population Structure.,2020,,Q3_amr_core,pending,,,,
EPMC-0021,32213251,10.1099/mgen.0.000359,"Genomic epidemiology and population structure of <i>Neisseria gonorrhoeae</i> in Norway, 2016-2017.",2020,,Q3_amr_core,pending,,,,
EPMC-0022,32636251,10.1128/mbio.01344-20,Improved Prediction of Bacterial Genotype-Phenotype Associations Using Interpretable Pangenome-Spanning Regressions.,2020,,Q2_block_holdout_focus|Q3_amr_core,pending,,,,
EPMC-0023,33519755,10.3389/fmicb.2020.607842,Integrative Analysis of Whole Genome Sequencing and Phenotypic Resistance Toward Prediction of Trimethoprim-Sulfamethoxazole Resistance in <i>Staphylococcus aureus</i>.,2020,,Q3_amr_core,pending,,,,
EPMC-0024,33068113,10.1093/gigascience/giaa110,Interpreting k-mer-based signatures for antibiotic resistance prediction.,2020,,Q3_amr_core,pending,,,,
EPMC-0025,33316921,10.3390/biology9120453,Literature on Applied Machine Learning in Metagenomic Classification: A Scoping Review.,2020,,Q3_amr_core,pending,,,,
EPMC-0026,32119670,10.1371/journal.pcbi.1007608,Machine learning with random subspace ensembles identifies antimicrobial resistance determinants from pan-genomes of three pathogens.,2020,,Q3_amr_core,pending,,,,
EPMC-0027,33112851,10.1371/journal.pgen.1009065,Major role of iron uptake systems in the intrinsic extra-intestinal virulence of the genus Escherichia revealed by a genome-wide association study.,2020,,Q3_amr_core,pending,,,,
EPMC-0028,33193203,10.3389/fmicb.2020.578795,PARMAP: A Pan-Genome-Based Computational Framework for Predicting Antimicrobial Resistance.,2020,,Q3_amr_core,pending,,,,
EPMC-0029,33375502,10.3390/microorganisms9010052,Plasmid Identification and Plasmid-Mediated Antimicrobial Gene Detection in Norwegian Isolates.,2020,,Q3_amr_core,pending,,,,
EPMC-0030,,10.1101/2020.04.29.068254,Predicting Antimicrobial Resistance Using Conserved Genes,2020,,Q3_amr_core,pending,,,,
EPMC-0031,32048461,10.15252/emmm.201910264,Predicting antimicrobial resistance in Pseudomonas aeruginosa with machine learning-enabled molecular diagnostics.,2020,,Q3_amr_core,pending,,,,
EPMC-0032,33075053,10.1371/journal.pcbi.1008319,Predicting antimicrobial resistance using conserved genes.,2020,,Q3_amr_core,pending,,,,
EPMC-0033,32858260,10.1016/j.diagmicrobio.2020.115149,Predicting β-lactam resistance using whole genome sequencing in Klebsiella pneumoniae: the challenge of β-lactamase inhibitors.,2020,,Q3_amr_core,pending,,,,
EPMC-0034,33347430,10.1371/journal.pcbi.1008518,Robust detection of point mutations involved in multidrug-resistant Mycobacterium tuberculosis in the presence of co-occurrent resistance markers.,2020,,Q3_amr_core,pending,,,,
