doi,pmid,pmcid,title,year,claim_declared,deployment_block_guess,github_urls,oa,fold_lang_in_fulltext,data_availability_mentioned,verification_depth_provisional,main_barrier_guess
10.1038/s44259-025-00172-6,41402414,PMC12708672,Gene copy-number features generalize better than SNPs for antimicrobial resistance prediction in Staphylococcus aureus.,2025,yes,country,,Y,False,mentioned,pending_fulltext,unknown_until_repo
10.1016/j.meegid.2025.105862,41423186,,Comprehensive in silico genomic surveillance of β-lactam and methicillin resistance in Staphylococcus aureus: Machine learning-based analysis of lineage dynamics and global evolution.,2026,yes,country,,N,,,pending_fulltext,unknown_until_repo
10.1128/spectrum.00556-25,40642980,PMC12323339,Machine learning-selected minimal features drive high-accuracy rule-based antibiotic susceptibility predictions for &lt;i&gt;Staphylococcus aureus&lt;/i&gt; via metagenomic sequencing.,2025,yes,country,,Y,True,mentioned,pending_fulltext,unknown_until_repo
10.64898/2026.08.25.747089,,,Genomic Context as a Predictor of Multidrug Resistance in African Klebsiella pneumoniae: A Feasibility Study with Leave-One-Country-Out Validation,2026,yes,country,,N,,,pending_fulltext,unknown_until_repo
10.21203/rs.3.rs-9230875/v1,,,"Beyond the Black Box: A Calibrated, Gene-Centric Pipeline for High-Precision Ciprofloxacin Resistance Prediction in Salmonella enterica",2026,yes,species,,N,,,pending_fulltext,unknown_until_repo
10.1128/msystems.01185-20,34100643,PMC8579812,Whole-Genome Sequencing and Machine Learning Analysis of Staphylococcus aureus from Multiple Heterogeneous Sources in China Reveals Common Genetic Traits of Antimicrobial Resistance.,2021,yes,country,https://github.com/lh3/readfq|https://github.com/tan0101/Saureus-mSytems-2021|https://github.com/tseemann/abricate,Y,True,mentioned,pending_repo,unknown_until_repo
10.3389/fmicb.2020.607842,33519755,PMC7840696,Integrative Analysis of Whole Genome Sequencing and Phenotypic Resistance Toward Prediction of Trimethoprim-Sulfamethoxazole Resistance in <i>Staphylococcus aureus</i>.,2020,yes,country,,Y,False,mentioned,pending_fulltext,unknown_until_repo
10.1371/journal.pcbi.1008319,33075053,PMC7595632,Predicting antimicrobial resistance using conserved genes.,2020,yes,country,https://github.com/jimdavis1/Core-Gene-AMR-Models,Y,True,mentioned,pending_repo,unknown_until_repo
10.1128/msystems.00378-22,35862809,PMC9426533,"Forecasting Staphylococcus aureus Infections Using Genome-Wide Association Studies, Machine Learning, and Transcriptomic Approaches.",2022,yes,country,https://github.com/mosassi/Staphylococcus_annotation.git|https://github.com/transcript/COG,Y,False,mentioned,pending_repo,unknown_until_repo
10.3390/microorganisms13010101,39858869,PMC11767573,Data Mining Models in Prediction of Vancomycin-Intermediate <i>Staphylococcus aureus</i> in Methicillin-Resistant <i>S. aureus</i> (MRSA) Bacteremia Patients in a Clinical Care Setting.,2025,yes,country,,Y,False,mentioned,pending_fulltext,unknown_until_repo
10.1101/2020.04.29.068254,,,Predicting Antimicrobial Resistance Using Conserved Genes,2020,yes,country,,N,,,pending_fulltext,unknown_until_repo
10.1016/j.vetmic.2021.109006,33581494,PMC11555765,Genomics accurately predicts antimicrobial resistance in Staphylococcus pseudintermedius collected as part of Vet-LIRN resistance monitoring.,2021,yes,country,,N,False,,pending_fulltext,unknown_until_repo
