doi,pmid,pmcid,title,year,claim_declared,deployment_block_guess,github_urls,oa,fold_lang_in_fulltext,data_availability_mentioned,verification_depth_provisional,main_barrier_guess,claim_declared_strict,deployment_block_strict,evidence_span,evidence_context,primary_denominator_eligible,repo_meta,abstract_excerpt
10.1038/s44259-025-00172-6,41402414,PMC12708672,Gene copy-number features generalize better than SNPs for antimicrobial resistance prediction in Staphylococcus aureus.,2025,yes,country,,Y,False,mentioned,pending_fulltext,unknown_until_repo,yes,lineage,novel bacterial lineages,me Single Nucleotide Polymorphisms (SNPs) often fail to generalize to novel bacterial lineages. We evaluate AMR prediction in Staphylococcus aureus using pan-genome features that encod,yes,[],"Rapid prediction of antimicrobial resistance (AMR) from genome sequences is essential for timely therapy, yet models based on curated marker panels or core-genome Single Nucleotide Polymorphisms (SNPs) often fail to generalize to novel bacterial lineages. We evaluate AMR prediction in Staphylococcus aureus using pan-genome features that encode homologous gene copy number (including absence) and compare them to SNP-based models across six antibiotics and 4255 isolates. Gradient-boosted decision t"
10.1016/j.meegid.2025.105862,41423186,,Comprehensive in silico genomic surveillance of β-lactam and methicillin resistance in Staphylococcus aureus: Machine learning-based analysis of lineage dynamics and global evolution.,2026,yes,country,,N,,,pending_fulltext,unknown_until_repo,ambiguous,unclear,,,no,[],"Background According to the World Health Organization, methicillin-resistant Staphylococcus aureus (MRSA) is classified as a ""High"" priority pathogen on its Global Priority Pathogens List. The aim of this study is to perform a comprehensive genome-based in silico analysis of S. aureus to elucidate the evolutionary dynamics of β-lactam and methicillin resistance, focusing on resistance genes and minimum inhibitory concentration (MIC) phenotypes. This study analyzes all publicly available S. aureu"
10.1128/spectrum.00556-25,40642980,PMC12323339,Machine learning-selected minimal features drive high-accuracy rule-based antibiotic susceptibility predictions for &lt;i&gt;Staphylococcus aureus&lt;/i&gt; via metagenomic sequencing.,2025,yes,country,,Y,True,mentioned,pending_fulltext,unknown_until_repo,ambiguous,unclear,,,no,[],"Antimicrobial resistance (AMR) represents a critical global health challenge, demanding rapid and accurate antimicrobial susceptibility testing (AST) to guide timely treatments. Traditional culture-based AST methods are slow, while existing whole-genome sequencing (WGS)-based models often suffer from overfitting, poor interpretability, and diminished performance on clinical metagenomic data. In this study, we developed an interpretable genotypic AST approach for Staphylococcus aureus using minim"
10.64898/2026.08.25.747089,,,Genomic Context as a Predictor of Multidrug Resistance in African Klebsiella pneumoniae: A Feasibility Study with Leave-One-Country-Out Validation,2026,yes,country,,N,,,pending_fulltext,unknown_until_repo,yes,country,Leave-One-Country,Resistance in African Klebsiella pneumoniae: A Feasibility Study with Leave-One-Country-Out Validation Multidrug-resistant (MDR) Klebsiella pneumoniae is a leading cause of heal,yes,[],"Multidrug-resistant (MDR) Klebsiella pneumoniae is a leading cause of healthcare-associated mortality in Africa, yet genomic prediction of resistance has relied almost exclusively on resistance-gene detection validated under random data splits. Whether genomic context—lineage, capsule and O-locus background, and virulence loci, with all resistance determinants excluded—can predict aggregate MDR status, and whether such signal survives geographic transport, remains untested. As a feasibility stud"
10.21203/rs.3.rs-9230875/v1,,,"Beyond the Black Box: A Calibrated, Gene-Centric Pipeline for High-Precision Ciprofloxacin Resistance Prediction in Salmonella enterica",2026,yes,species,,N,,,pending_fulltext,unknown_until_repo,yes,species,LOSO,"')-Ib suggested potential collateral sensitivity trade-offs. However, LOSO validation revealed a significant performance decay in clonal, human-restricted lineages ",yes,[],"Abstract The transition from traditional methods to genomic-based antimicrobial susceptibility testing (AST) for Salmonella requires models that are biologically interpretable, clinically calibrated, and discriminative. This study analyzed 8,759 Salmonella isolates from the NCBI Pathogen Detection database, to predict ciprofloxacin resistance through two distinct computational architectures: an alignment-free, agnostic k-mer hashing model and a feature-engineered gene-based model (Logistic Regre"
10.1128/msystems.01185-20,34100643,PMC8579812,Whole-Genome Sequencing and Machine Learning Analysis of Staphylococcus aureus from Multiple Heterogeneous Sources in China Reveals Common Genetic Traits of Antimicrobial Resistance.,2021,yes,country,https://github.com/lh3/readfq|https://github.com/tan0101/Saureus-mSytems-2021|https://github.com/tseemann/abricate,Y,True,mentioned,pending_repo,unknown_until_repo,ambiguous,unclear,,,no,"[{""repo"": ""lh3/readfq"", ""stars"": 177, ""default_branch"": ""master"", ""description"": ""Fast multi-line FASTA/Q reader in several programming languages""}, {""repo"": ""tan0101/Saureus-mSytems-2021"", ""stars"": 3, ""default_branch"": ""main"", ""description"": ""\""Whole-genome sequencing and machine learning analysis of Staphylococcus aureus from multiple heterogeneous sources in China reveals common genetic traits of antimicrobial resistance\"" by WEI WANG, Mic""}, {""repo"": ""tseemann/abricate"", ""stars"": 508, ""defau","Staphylococcus aureus is a worldwide leading cause of numerous diseases ranging from food-poisoning to lethal infections. Methicillin-resistant S. aureus (MRSA) has been found capable of acquiring resistance to most antimicrobials. MRSA is ubiquitous and diverse even in terms of antimicrobial resistance (AMR) profiles, posing a challenge for treatment. Here, we present a comprehensive study of S. aureus in China, addressing epidemiology, phylogenetic reconstruction, genomic characterization, and"
10.3389/fmicb.2020.607842,33519755,PMC7840696,Integrative Analysis of Whole Genome Sequencing and Phenotypic Resistance Toward Prediction of Trimethoprim-Sulfamethoxazole Resistance in <i>Staphylococcus aureus</i>.,2020,yes,country,,Y,False,mentioned,pending_fulltext,unknown_until_repo,ambiguous,unclear,,,no,[],"As whole genome sequencing is becoming more accessible and affordable for clinical microbiological diagnostics, the reliability of genotypic antimicrobial resistance (AMR) prediction from sequencing data is an important issue to address. Computational AMR prediction can be performed at multiple levels. The first-level approach, such as simple AMR search relies heavily on the quality of the information fed into the database. However, AMR due to mutations are often undetected, since this is not in"
10.1371/journal.pcbi.1008319,33075053,PMC7595632,Predicting antimicrobial resistance using conserved genes.,2020,yes,country,https://github.com/jimdavis1/Core-Gene-AMR-Models,Y,True,mentioned,pending_repo,unknown_until_repo,ambiguous,unclear,,,no,"[{""repo"": ""jimdavis1/Core-Gene-AMR-Models"", ""stars"": 1, ""default_branch"": ""master"", ""description"": """"}]","A growing number of studies are using machine learning models to accurately predict antimicrobial resistance (AMR) phenotypes from bacterial sequence data. Although these studies are showing promise, the models are typically trained using features derived from comprehensive sets of AMR genes or whole genome sequences and may not be suitable for use when genomes are incomplete. In this study, we explore the possibility of predicting AMR phenotypes using incomplete genome sequence data. Models wer"
10.1128/msystems.00378-22,35862809,PMC9426533,"Forecasting Staphylococcus aureus Infections Using Genome-Wide Association Studies, Machine Learning, and Transcriptomic Approaches.",2022,yes,country,https://github.com/mosassi/Staphylococcus_annotation.git|https://github.com/transcript/COG,Y,False,mentioned,pending_repo,unknown_until_repo,ambiguous,unclear,,,no,"[{""repo"": ""mosassi/Staphylococcus_annotation"", ""stars"": 0, ""default_branch"": ""main"", ""description"": ""annotate S aureus sRNAs, virulence, resistance genes and prophages""}, {""repo"": ""transcript/COG"", ""stars"": 11, ""default_branch"": ""master"", ""description"": ""Scripts and steps for making a consolidated COG database file for tools like DIAMOND.""}]","Staphylococcus aureus is a major human and animal pathogen, colonizing diverse ecological niches within its hosts. Predicting whether an isolate will infect a specific host and its subsequent clinical fate remains unknown. In this study, we investigated the S. aureus pangenome using a curated set of 356 strains, spanning a wide range of hosts, origins, and clinical display and antibiotic resistance profiles. We used genome-wide association study (GWAS) and random forest (RF) algorithms to discri"
10.3390/microorganisms13010101,39858869,PMC11767573,Data Mining Models in Prediction of Vancomycin-Intermediate <i>Staphylococcus aureus</i> in Methicillin-Resistant <i>S. aureus</i> (MRSA) Bacteremia Patients in a Clinical Care Setting.,2025,yes,country,,Y,False,mentioned,pending_fulltext,unknown_until_repo,ambiguous,unclear,,,no,[],"Vancomycin-intermediate Staphylococcus aureus (VISA) is a multi-drug-resistant pathogen of significant clinical concern. Various S. aureus strains can cause infections, from skin and soft tissue infections to life-threatening conditions such as bacteremia and pneumonia. VISA infections, particularly bacteremia, are associated with high mortality rates, with 34% of patients succumbing within 30 days. This study aimed to develop predictive models for VISA (including h VISA) bacteremia outcomes usi"
10.1101/2020.04.29.068254,,,Predicting Antimicrobial Resistance Using Conserved Genes,2020,yes,country,,N,,,pending_fulltext,unknown_until_repo,ambiguous,unclear,,,no,[],"A growing number of studies have shown that machine learning algorithms can be used to accurately predict antimicrobial resistance (AMR) phenotypes from bacterial sequence data. In these studies, models are typically trained using input features derived from comprehensive sets of known AMR genes or whole genome sequences. However, it can be difficult to determine whether genomes and their corresponding sets of AMR genes are complete when sequencing contaminated or metagenomic samples. In this st"
